work_id,author_id,author_name,institutions,author_position,is_corresponding
W3088217251,A5060378870,Richard George,Technische Universität Dresden,first,True
W3088217251,A5017434251,Michela Chiappalone,Italian Institute of Technology,middle,False
W3088217251,A5012265702,Michèle Giugliano,Scuola Internazionale Superiore di Studi Avanzati,middle,False
W3088217251,A5062093506,Timothée Levi,Université de Bordeaux; Laboratory for Integrated Micro-Mechatronic Systems; Laboratoire de l'Intégration du Matériau au Système; The University of Tokyo,middle,False
W3088217251,A5073663890,Stefano Vassanelli,University of Padua,middle,False
W3088217251,A5003942211,Johannes Partzsch,Technische Universität Dresden,middle,False
W3088217251,A5071241846,Christian Mayr,Technische Universität Dresden,last,False
W4388452697,A5047928188,Zhuohui Liu,Chinese Academy of Sciences; Institute of Physics; University of Chinese Academy of Sciences,first,True
W4388452697,A5100327261,Qinghua Zhang,Chinese Academy of Sciences; Yangtze River Delta Physics Research Center (China); Institute of Physics,middle,False
W4388452697,A5035763414,Donggang Xie,Chinese Academy of Sciences; Institute of Physics; University of Chinese Academy of Sciences,middle,False
W4388452697,A5100717987,Mingzhen Zhang,Chinese Academy of Sciences; Institute of Physics; University of Chinese Academy of Sciences,middle,False
W4388452697,A5100439390,Xinyan Li,Chinese Academy of Sciences; Institute of Physics; University of Chinese Academy of Sciences,middle,False
W4388452697,A5016718593,Hai Zhong,Ludong University; Chinese Academy of Sciences; Institute of Physics,middle,False
W4388452697,A5100447696,Ge Li,Chinese Academy of Sciences; Institute of Physics; University of Chinese Academy of Sciences,middle,False
W4388452697,A5101409972,Meng He,Chinese Academy of Sciences; Institute of Physics,middle,False
W4388452697,A5005469683,Dashan Shang,Chinese Academy of Sciences; Institute of Microelectronics,middle,False
W4388452697,A5100428576,Can Wang,Chinese Academy of Sciences; Institute of Physics; University of Chinese Academy of Sciences,middle,False
