work_id,keyword,score,source
W4396888282,Photonics,0.45550087094306946,keyword
W4396888282,Memristor,0.4241848587989807,keyword
W4396888282,Computer science,0.32161521911621094,keyword
W4396888282,Electronic engineering,0.2475017011165619,keyword
W4396888282,Artificial neural network,0.19720017910003662,keyword
W4396888282,Chemistry,0.10821288824081421,keyword
W4396888282,Advanced Memory and Neural Computing,0.9998000264167786,topic
W4396888282,Photoreceptor and optogenetics research,0.9968000054359436,topic
W4396888282,Perovskite Materials and Applications,0.995199978351593,topic
W3000389053,Metaplasticity,0.7729436755180359,keyword
W3000389053,Nonsynaptic plasticity,0.7255282402038574,keyword
W3000389053,Synaptic plasticity,0.7062719464302063,keyword
W3000389053,Neural facilitation,0.644006073474884,keyword
W3000389053,Long-term potentiation,0.6417131423950195,keyword
W3000389053,Homosynaptic plasticity,0.5994170904159546,keyword
W3000389053,Plasticity,0.5557512044906616,keyword
W3000389053,Materials science,0.48783043026924133,keyword
W3000389053,Synaptic scaling,0.4837660789489746,keyword
W3000389053,Neuroscience,0.47910431027412415,keyword
W3000389053,Spike-timing-dependent plasticity,0.4563198685646057,keyword
W3000389053,Excitatory postsynaptic potential,0.45208942890167236,keyword
W3000389053,Neurotransmission,0.4148465394973755,keyword
W3000389053,Biology,0.1981673240661621,keyword
W3000389053,Inhibitory postsynaptic potential,0.11764070391654968,keyword
W3000389053,Advanced Memory and Neural Computing,1.0,topic
W3000389053,Conducting polymers and applications,0.9991999864578247,topic
W3000389053,Neuroscience and Neural Engineering,0.9972000122070312,topic
W3161616159,Materials science,0.6408286094665527,keyword
W3161616159,Nanowire,0.6185950040817261,keyword
W3161616159,Neuromorphic engineering,0.5949971675872803,keyword
W3161616159,Transistor,0.5921086072921753,keyword
W3161616159,Optoelectronics,0.5618072152137756,keyword
W3161616159,Dual (grammatical number),0.5397864580154419,keyword
W3161616159,Long-term potentiation,0.5275266170501709,keyword
W3161616159,Coupling (piping),0.43693244457244873,keyword
W3161616159,Logic gate,0.4305419921875,keyword
W3161616159,Capacitive coupling,0.42665213346481323,keyword
W3161616159,Computer science,0.39396846294403076,keyword
W3161616159,Electronic engineering,0.35263121128082275,keyword
W3161616159,Electrical engineering,0.3427433967590332,keyword
W3161616159,Voltage,0.23324739933013916,keyword
W3161616159,Engineering,0.1748213768005371,keyword
W3161616159,Artificial neural network,0.1295391321182251,keyword
W3161616159,Chemistry,0.08989483118057251,keyword
